Animals,Plants,Average_Energy,Average_Lifetime,Average_Children
9,19,403.6666666666667,23.76271186440678,22.444444444444443
10,19,378.0,23.76271186440678,20.4
11,19,339.1818181818182,23.76271186440678,18.727272727272727
9,19,411.22222222222223,23.558659217877096,22.88888888888889
9,19,419.3333333333333,23.558659217877096,22.88888888888889
9,19,427.44444444444446,23.558659217877096,22.88888888888889
9,19,435.55555555555554,23.558659217877096,22.88888888888889
9,19,443.6666666666667,23.558659217877096,22.88888888888889
9,19,440.6666666666667,23.558659217877096,22.88888888888889
9,19,437.6666666666667,23.558659217877096,22.88888888888889
7,19,559.4285714285714,23.613259668508288,29.142857142857142
7,19,570.7142857142857,23.613259668508288,29.142857142857142
6,19,679.0,23.73076923076923,34.0
6,19,676.0,23.73076923076923,34.0
7,20,559.1428571428571,23.73076923076923,29.428571428571427
7,20,557.4285714285714,27.437158469945356,22.857142857142858
8,20,488.125,27.437158469945356,20.25
9,20,424.8888888888889,27.437158469945356,18.22222222222222
10,20,353.4,27.437158469945356,16.6
11,20,309.72727272727275,27.437158469945356,15.272727272727273
12,19,285.5833333333333,27.437158469945356,14.166666666666666
13,20,252.3846153846154,27.437158469945356,13.23076923076923
12,20,268.0,27.28108108108108,14.333333333333334
14,21,204.71428571428572,27.27956989247312,12.642857142857142
12,20,230.0,27.08994708994709,14.916666666666666
14,19,172.35714285714286,27.08994708994709,13.071428571428571
16,18,146.5625,27.08994708994709,11.6875
18,18,122.44444444444444,27.08994708994709,10.61111111111111
20,18,104.05,27.08994708994709,9.75
22,17,88.86363636363636,27.08994708994709,9.045454545454545
18,18,100.61111111111111,26.70618556701031,11.166666666666666
18,19,95.55555555555556,26.671794871794873,11.277777777777779
15,19,104.4,26.79396984924623,13.2
15,19,96.33333333333333,26.74,13.333333333333334
15,19,96.2,26.71144278606965,13.466666666666667
15,19,90.33333333333333,26.737623762376238,13.6
15,19,92.0,26.87192118226601,13.6
15,20,87.4,30.715686274509803,9.866666666666667
15,20,89.26666666666667,30.609756097560975,10.0
13,20,105.92307692307692,30.341346153846153,11.692307692307692
10,20,144.0,30.061611374407583,15.2
9,20,178.88888888888889,30.20754716981132,16.88888888888889
7,21,226.14285714285714,30.2803738317757,21.285714285714285
7,20,251.71428571428572,30.2803738317757,21.285714285714285
7,20,248.71428571428572,30.2803738317757,21.285714285714285
6,20,303.3333333333333,30.293023255813953,24.833333333333332
6,20,333.6666666666667,30.293023255813953,24.833333333333332
6,20,330.6666666666667,30.293023255813953,24.833333333333332
5,20,393.4,30.430555555555557,29.4
11.575645756457565,17.15129151291513,223.04240686128773,19.048517758134675,13.638941328778866
